Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
ABT,2016-06-30,2016-08-03,5333000000,615000000,816000000
ABT,2016-09-30,2016-11-03,5302000000,-329000000,897000000
ABT,2016-12-31,2017-02-03,5333000000,798000000,948000000
ABT,2017-03-31,2017-03-31,6335000000,419000000,-242000000
ABT,2017-06-30,2017-08-02,6637000000,283000000,427000000
ABT,2017-09-30,2017-11-02,6829000000,603000000,810000000
ABT,2017-12-31,2018-02-16,7589000000,-828000000,731000000
ABT,2018-03-31,2018-05-02,7390000000,418000000,608000000
ABT,2018-06-30,2018-08-01,7767000000,733000000,882000000
ABT,2018-09-30,2018-10-31,7656000000,563000000,995000000
ABT,2018-12-31,2019-02-22,7765000000,654000000,1165000000
ABT,2019-03-31,2019-05-01,7535000000,672000000,739000000
ADBE,2009-06-30,2009-07-09,704673000,126071000,164884000
ADBE,2009-09-30,2009-10-01,697507000,136045000,167667000
ADBE,2009-12-31,2010-01-09,757283000,-32043000,179036000
ADBE,2010-03-31,2010-04-09,858700000,127154000,188455000
ADBE,2010-06-30,2010-07-02,943035000,148611000,238826000
